# Range file name:,range_16.txt
# Raw file name:,20251008_H87023AB_1OCTOBER25_CAL_BSANAT
$TrapCV:,4.0
0.0,192.0
0.1377537688442211,248.0
0.2755075376884422,534.0
0.41326130653266335,237.0
0.5510150753768844,162.0
0.6887688442211055,112.0
0.8265226130653267,270.0
0.9642763819095477,210.0
1.1020301507537689,290.0
1.23978391959799,153.0
1.377537688442211,322.0
1.5152914572864322,106.0
1.6530452261306534,290.0
1.7907989949748746,304.0
1.9285527638190954,225.0
2.0663065326633165,422.0
2.2040603015075377,171.0
2.341814070351759,77.0
2.47956783919598,47.0
2.617321608040201,1105.0
2.755075376884422,1168.0
2.8928291457286432,627.0
3.0305829145728644,414.0
3.1683366834170856,98.0
3.306090452261307,1062.0
3.443844221105528,2498.0
3.581597989949749,642.0
3.7193517587939695,86.0
3.8571055276381907,154.0
3.994859296482412,355.0
4.132613065326633,1215.0
4.270366834170854,288.0
4.4081206030150755,143.0
4.545874371859297,57.0
4.683628140703518,20.0
4.821381909547739,1413.0
4.95913567839196,1068.0
5.096889447236181,170.0
5.234643216080402,51.0
5.372396984924623,254.0
5.510150753768844,901.0
5.647904522613065,1444.0
5.7856582914572865,176.0
5.923412060301508,79.0
6.061165829145729,104.0
6.19891959798995,888.0
6.336673366834171,1027.0
6.4744271356783925,327.0
6.612180904522614,90.0
6.749934673366835,117.0
6.887688442211056,558.0
7.025442211055277,1522.0
7.163195979899498,574.0
7.30094974874372,162.0
7.438703517587939,203.0
7.57645728643216,280.0
7.714211055276381,1877.0
7.851964824120603,733.0
7.989718592964824,507.0
8.127472361809046,525.0
8.265226130653266,2549.0
8.402979899497486,621.0
8.540733668341709,372.0
8.678487437185929,799.0
8.816241206030151,755.0
8.953994974874371,3112.0
9.091748743718593,2905.0
9.229502512562814,1436.0
9.367256281407036,2117.0
9.505010050251256,6004.0
9.642763819095478,13484.0
9.780517587939698,36317.0
9.91827135678392,89384.0
10.05602512562814,257544.0
10.193778894472363,646965.0
10.331532663316583,1127076.0
10.469286432160803,1521631.0
10.607040201005026,1780064.0
10.744793969849246,1867537.0
10.882547738693468,1795296.0
11.020301507537688,1648496.0
11.15805527638191,1446444.0
11.29580904522613,1201399.0
11.433562814070351,958826.0
11.571316582914573,690457.0
11.709070351758793,475031.0
11.846824120603015,319538.0
11.984577889447236,214063.0
12.122331658291458,146006.0
12.260085427135678,106863.0
12.3978391959799,84291.0
12.53559296482412,66174.0
12.673346733668343,53633.0
12.811100502512563,42417.0
12.948854271356785,39260.0
13.086608040201005,27195.0
13.224361809045227,26986.0
13.362115577889448,22217.0
13.49986934673367,20786.0
13.63762311557789,14013.0
13.775376884422112,13638.0
13.913130653266332,15471.0
14.050884422110554,10036.0
14.188638190954775,7341.0
14.326391959798997,9103.0
14.464145728643217,8273.0
14.60189949748744,8800.0
14.739653266331658,6932.0
14.877407035175878,7129.0
15.0151608040201,7423.0
15.15291457286432,6259.0
15.290668341708542,5538.0
15.428422110552763,5938.0
15.566175879396985,3448.0
15.703929648241205,4360.0
15.841683417085427,3509.0
15.979437185929648,2977.0
16.117190954773868,2448.0
16.25494472361809,1600.0
16.392698492462312,3670.0
16.530452261306532,2587.0
16.668206030150753,2562.0
16.805959798994973,1156.0
16.943713567839197,708.0
17.081467336683417,955.0
17.219221105527637,1214.0
17.356974874371858,1087.0
17.49472864321608,798.0
17.632482412060302,524.0
17.770236180904522,423.0
17.907989949748742,380.0
18.045743718592966,727.0
18.183497487437187,322.0
18.321251256281407,358.0
18.459005025125627,148.0
18.59675879396985,198.0
18.73451256281407,517.0
18.87226633165829,1096.0
19.010020100502512,123.0
19.147773869346736,210.0
19.285527638190956,275.0
19.423281407035176,0.0
19.561035175879397,164.0
19.69878894472362,185.0
19.83654271356784,172.0
19.97429648241206,225.0
20.11205025125628,129.0
20.249804020100505,26.0
20.387557788944726,104.0
20.525311557788946,404.0
20.663065326633166,159.0
20.800819095477387,123.0
20.938572864321607,257.0
21.07632663316583,180.0
21.21408040201005,85.0
21.35183417085427,91.0
21.48958793969849,177.0
21.627341708542716,255.0
21.765095477386936,210.0
21.902849246231156,44.0
22.040603015075376,176.0
22.1783567839196,110.0
22.31611055276382,121.0
22.45386432160804,22.0
22.59161809045226,123.0
22.729371859296485,105.0
22.867125628140702,43.0
23.004879396984926,90.0
23.142633165829146,182.0
23.28038693467337,20.0
23.418140703517587,22.0
23.555894472361807,22.0
23.69364824120603,29.0
23.83140201005025,127.0
23.96915577889447,25.0
24.10690954773869,37.0
24.244663316582916,281.0
24.382417085427132,233.0
24.520170854271356,0.0
24.657924623115576,39.0
24.7956783919598,55.0
24.933432160804017,112.0
25.07118592964824,116.0
25.20893969849246,0.0
25.346693467336685,224.0
25.484447236180902,46.0
25.622201005025126,68.0
25.759954773869346,273.0
25.89770854271357,0.0
26.035462311557787,211.0
26.17321608040201,24.0
26.31096984924623,20.0
26.448723618090455,76.0
26.58647738693467,39.0
26.724231155778895,135.0
26.861984924623115,166.0
26.99973869346734,31.0
27.137492462311556,80.0
27.27524623115578,274.0
27.413,36.0
