0.000	0
0.138	25
0.276	0
0.415	20
0.553	152
0.691	0
0.830	29
0.968	0
1.106	29
1.244	0
1.383	0
1.521	0
1.659	0
1.797	0
1.936	16
2.074	0
2.212	12
2.350	0
2.489	0
2.627	0
2.765	32
2.903	12
3.042	0
3.180	0
3.318	12
3.456	0
3.595	22
3.733	0
3.871	0
4.009	17
4.148	0
4.286	0
4.424	0
4.562	0
4.701	0
4.839	0
4.977	0
5.115	0
5.253	0
5.392	0
5.530	41
5.668	12
5.806	0
5.945	0
6.083	12
6.221	0
6.359	12
6.498	0
6.636	627
6.774	9314
6.912	61592
7.051	170833
7.189	288694
7.327	331591
7.465	273516
7.604	181081
7.742	108363
7.880	69420
8.019	40666
8.157	22653
8.295	13816
8.433	10622
8.571	6720
8.710	5688
8.848	5103
8.986	3293
9.125	2325
9.263	2099
9.401	1807
9.539	1156
9.677	1031
9.816	956
9.954	659
10.092	628
10.231	436
10.369	367
10.507	548
10.645	438
10.783	477
10.922	427
11.060	470
11.198	152
11.337	209
11.475	247
11.613	512
11.751	131
11.889	150
12.028	172
12.166	211
12.304	188
12.443	115
12.581	79
12.719	143
12.857	75
12.995	137
13.134	130
13.272	65
13.410	187
13.549	86
13.687	132
13.825	71
13.963	106
14.101	75
14.240	78
14.378	91
14.516	36
14.655	134
14.793	85
14.931	33
15.069	29
15.208	31
15.346	42
15.484	111
15.622	71
15.760	95
15.899	205
16.037	28
16.175	43
16.313	47
16.452	118
16.590	210
16.728	115
16.867	40
17.005	12
17.143	75
17.281	14
17.420	94
17.558	16
17.696	0
17.834	32
17.972	27
18.111	30
18.249	18
18.387	13
18.525	0
18.664	39
18.802	105
18.940	0
19.079	0
19.217	34
19.355	0
19.493	0
19.632	14
19.770	12
19.908	24
20.046	12
20.184	105
20.323	29
20.461	25
20.599	14
20.737	63
20.876	28
21.014	0
21.152	0
21.291	26
21.429	12
21.567	13
21.705	0
21.844	0
21.982	28
22.120	25
22.258	34
22.396	12
22.535	102
22.673	0
22.811	36
22.949	0
23.088	0
23.226	21
23.364	15
23.503	23
23.641	12
23.779	24
23.917	0
24.056	0
24.194	0
24.332	15
24.470	12
24.608	0
24.747	15
24.885	0
25.023	0
25.162	0
25.300	0
25.438	0
25.576	0
25.715	46
25.853	0
25.991	0
26.129	0
26.267	0
26.406	0
26.544	13
26.682	0
26.820	63
26.959	0
27.097	15
27.235	0
27.374	0
27.512	14

