0 147065.2 25 0.0 0.0
1 147065.2 25 25.0 0.138
2 147065.2 25 0.0 0.276
3 147065.2 25 20.0 0.415
4 147065.2 25 152.0 0.553
5 147065.2 25 0.0 0.691
6 147065.2 25 29.0 0.83
7 147065.2 25 0.0 0.968
8 147065.2 25 29.0 1.106
9 147065.2 25 0.0 1.244
10 147065.2 25 0.0 1.383
11 147065.2 25 0.0 1.521
12 147065.2 25 0.0 1.659
13 147065.2 25 0.0 1.797
14 147065.2 25 16.0 1.936
15 147065.2 25 0.0 2.074
16 147065.2 25 12.0 2.212
17 147065.2 25 0.0 2.35
18 147065.2 25 0.0 2.489
19 147065.2 25 0.0 2.627
20 147065.2 25 32.0 2.765
21 147065.2 25 12.0 2.903
22 147065.2 25 0.0 3.042
23 147065.2 25 0.0 3.18
24 147065.2 25 12.0 3.318
25 147065.2 25 0.0 3.456
26 147065.2 25 22.0 3.595
27 147065.2 25 0.0 3.733
28 147065.2 25 0.0 3.871
29 147065.2 25 17.0 4.009
30 147065.2 25 0.0 4.148
31 147065.2 25 0.0 4.286
32 147065.2 25 0.0 4.424
33 147065.2 25 0.0 4.562
34 147065.2 25 0.0 4.701
35 147065.2 25 0.0 4.839
36 147065.2 25 0.0 4.977
37 147065.2 25 0.0 5.115
38 147065.2 25 0.0 5.253
39 147065.2 25 0.0 5.392
40 147065.2 25 41.0 5.53
41 147065.2 25 12.0 5.668
42 147065.2 25 0.0 5.806
43 147065.2 25 0.0 5.945
44 147065.2 25 12.0 6.083
45 147065.2 25 0.0 6.221
46 147065.2 25 12.0 6.359
47 147065.2 25 0.0 6.498
48 147065.2 25 627.0 6.636
49 147065.2 25 9314.0 6.774
50 147065.2 25 61592.0 6.912
51 147065.2 25 170833.0 7.051
52 147065.2 25 288694.0 7.189
53 147065.2 25 331591.0 7.327
54 147065.2 25 273516.0 7.465
55 147065.2 25 181081.0 7.604
56 147065.2 25 108363.0 7.742
57 147065.2 25 69420.0 7.88
58 147065.2 25 40666.0 8.019
59 147065.2 25 22653.0 8.157
60 147065.2 25 13816.0 8.295
61 147065.2 25 10622.0 8.433
62 147065.2 25 6720.0 8.571
63 147065.2 25 5688.0 8.71
64 147065.2 25 5103.0 8.848
65 147065.2 25 3293.0 8.986
66 147065.2 25 2325.0 9.125
67 147065.2 25 2099.0 9.263
68 147065.2 25 1807.0 9.401
69 147065.2 25 1156.0 9.539
70 147065.2 25 1031.0 9.677
71 147065.2 25 956.0 9.816
72 147065.2 25 659.0 9.954
73 147065.2 25 628.0 10.092
74 147065.2 25 436.0 10.231
75 147065.2 25 367.0 10.369
76 147065.2 25 548.0 10.507
77 147065.2 25 438.0 10.645
78 147065.2 25 477.0 10.783
79 147065.2 25 427.0 10.922
80 147065.2 25 470.0 11.06
81 147065.2 25 152.0 11.198
82 147065.2 25 209.0 11.337
83 147065.2 25 247.0 11.475
84 147065.2 25 512.0 11.613
85 147065.2 25 131.0 11.751
86 147065.2 25 150.0 11.889
87 147065.2 25 172.0 12.028
88 147065.2 25 211.0 12.166
89 147065.2 25 188.0 12.304
90 147065.2 25 115.0 12.443
91 147065.2 25 79.0 12.581
92 147065.2 25 143.0 12.719
93 147065.2 25 75.0 12.857
94 147065.2 25 137.0 12.995
95 147065.2 25 130.0 13.134
96 147065.2 25 65.0 13.272
97 147065.2 25 187.0 13.41
98 147065.2 25 86.0 13.549
99 147065.2 25 132.0 13.687
100 147065.2 25 71.0 13.825
101 147065.2 25 106.0 13.963
