[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
1.49568,0.00277846,0.513949,0.00963883,0.981966,0.0136002,0.00458756,8.90563e-05

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
BSA_15,66400,15,0.0250229,0.481073,0.108509,12.8957,14.8702,-13.278
BSA_16,66400,16,0.0268105,0.483225,0.116261,14.6953,16.1859,-9.20982
myoglobin_15,17000,15,0.0276901,0.136294,0.120075,16.6817,17.2262,-3.16086
myoglobin_16,17000,16,0.0286882,0.132382,0.124403,17.7781,18.3227,-2.97246
myoglobin_17,17000,17,0.0295618,0.128389,0.128191,18.7549,19.2131,-2.38482
myoglobin_18,17000,18,0.0303843,0.124629,0.131758,19.6959,19.9656,-1.35055
myoglobin_19,17000,19,0.0311599,0.121084,0.135121,20.6023,20.629,-0.129667
myoglobin_20,17000,20,0.0318927,0.117735,0.138299,21.4752,21.2598,1.0131
myoglobin_21,17000,21,0.0326536,0.114804,0.141598,22.4093,21.9255,2.20653
myoglobin_22,17000,22,0.0335133,0.11247,0.145326,23.5066,22.637,3.84158
myoglobin_23,17000,23,0.0344072,0.11045,0.149203,24.6829,23.4186,5.39869
myoglobin_24,17000,24,0.0353389,0.108714,0.153243,25.9469,24.3171,6.70206

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
1,147065,24,0.000138,2715.58,46.3401
2,147065,24,0.000276,2780.26,45.2845
3,147065,24,0.000415,2844.02,44.2863
4,147065,24,0.000553,2906.01,43.3379
5,147065,24,0.000691,2966.69,42.4184
6,147065,24,0.00083,3026.88,41.7191
7,147065,24,0.000968,3085.41,40.8637
8,147065,24,0.001106,3142.92,40.117
9,147065,24,0.001244,3199.48,39.4653
10,147065,24,0.001383,3255.55,38.8024
11,147065,24,0.001521,3310.07,37.9995
12,147065,24,0.001659,3363.92,37.4971
13,147065,24,0.001797,3416.97,36.9996
14,147065,24,0.001936,3469.65,36.4083
15,147065,24,0.002074,3521.19,35.8805
16,147065,24,0.002212,3572.01,35.3829
17,147065,24,0.00235,3622.16,34.9069
18,147065,24,0.002489,3672.01,34.448
19,147065,24,0.002627,3720.88,34.0114
20,147065,24,0.002765,3769.14,33.5926
21,147065,24,0.002903,3816.82,33.1906
22,147065,24,0.003042,3864.23,32.7222
23,147065,24,0.00318,3910.5,32.1312
24,147065,24,0.003318,3956.28,31.8245
25,147065,24,0.003456,4001.73,31.5905
26,147065,24,0.003595,4047.04,31.3909
27,147065,24,0.003733,4091.65,31.1014
28,147065,24,0.003871,4135.79,30.7684
29,147065,24,0.004009,4179.43,30.4224
30,147065,24,0.004148,4222.93,30.0919
31,147065,24,0.004286,4265.67,29.8104
32,147065,24,0.004424,4308,29.5383
33,147065,24,0.004562,4349.93,29.2754
34,147065,24,0.004701,4391.78,29.0192
35,147065,24,0.004839,4432.95,28.7733
36,147065,24,0.004977,4473.76,28.5353
37,147065,24,0.005115,4514.2,28.2917
38,147065,24,0.005253,4554.13,27.9742
39,147065,24,0.005392,4594.07,27.8265
40,147065,24,0.00553,4633.47,27.6239
41,147065,24,0.005668,4672.54,27.4187
42,147065,24,0.005806,4711.3,27.2196
43,147065,24,0.005945,4750.02,27.0252
44,147065,24,0.006083,4788.17,26.8378
45,147065,24,0.006221,4826.02,26.656
46,147065,24,0.006359,4863.59,26.4795
47,147065,24,0.006498,4901.14,26.3069
48,147065,24,0.006636,4938.15,26.1405
49,147065,24,0.006774,4974.88,25.9789
50,147065,24,0.006912,5011.36,25.8219
51,147065,24,0.007051,5047.83,25.6683
52,147065,24,0.007189,5083.79,25.5201
53,147065,24,0.007327,5119.51,25.376
54,147065,24,0.007465,5154.98,25.236
55,147065,24,0.007604,5190.47,25.0989
56,147065,24,0.007742,5225.47,24.9665
57,147065,24,0.00788,5260.24,24.8378
58,147065,24,0.008019,5295.03,24.7118
59,147065,24,0.008157,5329.36,24.59
60,147065,24,0.008295,5363.46,24.4716
61,147065,24,0.008433,5397.36,24.3564
62,147065,24,0.008571,5431.04,24.2443
63,147065,24,0.00871,5464.77,24.1344
64,147065,24,0.008848,5498.05,24.0283
65,147065,24,0.008986,5531.13,23.925
66,147065,24,0.009125,5564.25,23.8237
67,147065,24,0.009263,5596.95,23.7258
68,147065,24,0.009401,5629.45,23.6305
69,147065,24,0.009539,5661.77,23.5377
70,147065,24,0.009677,5693.91,23.4473
71,147065,24,0.009816,5726.1,23.3587
72,147065,24,0.009954,5757.88,23.2729
73,147065,24,0.010092,5789.48,23.1895
74,147065,24,0.010231,5821.15,23.1076
75,147065,24,0.010369,5852.41,23.0283
76,147065,24,0.010507,5883.51,22.9511
77,147065,24,0.010645,5914.44,22.8759
78,147065,24,0.010783,5945.22,22.8026
79,147065,24,0.010922,5976.05,22.7306
80,147065,24,0.01106,6006.51,22.661
81,147065,24,0.011198,6036.81,22.5931
82,147065,24,0.011337,6067.17,22.5265
83,147065,24,0.011475,6097.17,22.4619
84,147065,24,0.011613,6127.01,22.399
85,147065,24,0.011751,6156.71,22.3294
86,147065,24,0.011889,6186.12,22.145
87,147065,24,0.012028,6215.84,22.3319
88,147065,24,0.012166,6245.25,22.2803
89,147065,24,0.012304,6274.46,22.1361
90,147065,24,0.012443,6303.65,22.0245
91,147065,24,0.012581,6332.53,22.0839
92,147065,24,0.012719,6361.36,22.0856
93,147065,24,0.012857,6390.11,22.0242
94,147065,24,0.012995,6418.74,22.0074
95,147065,24,0.013134,6447.48,21.9711
96,147065,24,0.013272,6475.53,21.5561
97,147065,24,0.01341,6503.33,21.5648
98,147065,24,0.013549,6531.59,21.8227
99,147065,24,0.013687,6559.65,21.8692
100,147065,24,0.013825,6587.55,21.7439
101,147065,24,0.013963,6615.27,21.6741
102,147065,24,0.014101,6642.87,21.6401
103,147065,24,0.01424,6670.55,21.6019
104,147065,24,0.014378,6697.86,21.5255
105,147065,24,0.014516,6725.07,21.5177
106,147065,24,0.014655,6752.39,21.5067
107,147065,24,0.014793,6779.42,21.4806
108,147065,24,0.014931,6806.35,21.4555
109,147065,24,0.015069,6833.17,21.4316
110,147065,24,0.015208,6860.08,21.4086
111,147065,24,0.015346,6886.7,21.3869
112,147065,24,0.015484,6913.21,21.3661
113,147065,24,0.015622,6939.63,21.3464
114,147065,24,0.01576,6965.95,21.3277
115,147065,24,0.015899,6992.36,21.3098
116,147065,24,0.016037,7018.49,21.293
117,147065,24,0.016175,7044.52,21.2771
118,147065,24,0.016313,7070.46,21.2621
119,147065,24,0.016452,7096.49,21.2479
120,147065,24,0.01659,7122.24,21.2347
121,147065,24,0.016728,7147.9,21.2224
122,147065,24,0.016867,7173.66,21.2108
123,147065,24,0.017005,7199.15,21.2001
124,147065,24,0.017143,7224.54,21.1902
125,147065,24,0.017281,7249.85,21.1811
126,147065,24,0.01742,7275.26,21.1727
127,147065,24,0.017558,7300.4,21.1651
128,147065,24,0.017696,7325.45,21.1583
129,147065,24,0.017834,7350.43,21.1521
130,147065,24,0.017972,7375.32,21.1467
131,147065,24,0.018111,7400.21,20.9941
132,147065,24,0.018249,7424.48,20.6036
133,147065,24,0.018387,7448.68,20.5949
134,147065,24,0.018525,7472.9,20.8449
135,147065,24,0.018664,7497.46,21.0125
