Z,Drift,CCS,CCS Std.Dev.
21,0.026129,7594.37,22.0504
21,0.026267,7613.09,22.0591
21,0.026406,7631.91,22.0681
21,0.026544,7650.55,22.0774
21,0.026682,7669.14,22.0868
21,0.02682,7687.69,22.0966
21,0.026959,7706.33,22.1067
21,0.027097,7724.8,22.1169
21,0.027235,7743.22,22.1274
21,0.027374,7761.73,22.1382
21,0.027512,7780.06,22.1482
22,0.000138,2320.37,50.9714
22,0.000276,2384.16,49.6993
22,0.000415,2446.86,48.4608
22,0.000553,2507.65,47.3151
22,0.000691,2567.1,46.2475
22,0.00083,2625.69,45.2434
22,0.000968,2682.67,44.3103
22,0.001106,2738.53,43.4323
22,0.001244,2793.33,42.604
22,0.001383,2847.51,41.8157
22,0.001521,2900.35,41.0717
22,0.001659,2952.25,40.3374
22,0.001797,3003.27,39.724
22,0.001936,3054.01,39.1451
22,0.002074,3103.52,38.463
22,0.002212,3152.23,37.8733
22,0.00235,3200.29,37.3628
22,0.002489,3248.04,36.8814
22,0.002627,3294.76,36.3195
22,0.002765,3340.65,35.7153
22,0.002903,3386.1,35.3784
22,0.003042,3431.34,34.9867
22,0.00318,3475.69,34.5449
22,0.003318,3519.49,34.1191
22,0.003456,3562.77,33.7313
22,0.003595,3605.85,33.356
22,0.003733,3648.15,32.9976
22,0.003871,3689.98,32.6526
22,0.004009,3731.36,32.3204
22,0.004148,3772.6,31.9979
22,0.004286,3813.12,31.6892
22,0.004424,3853.23,31.3913
22,0.004562,3892.91,31.0425
22,0.004701,3932.25,30.539
22,0.004839,3970.95,30.2726
22,0.004977,4009.39,30.1318
22,0.005115,4047.58,29.9643
22,0.005253,4085.45,29.8055
22,0.005392,4123.32,29.6018
22,0.00553,4160.57,29.3409
22,0.005668,4197.45,29.0772
22,0.005806,4234.01,28.8244
22,0.005945,4270.51,28.6056
22,0.006083,4306.45,28.4014
22,0.006221,4342.1,28.2034
22,0.006359,4377.47,28.0113
22,0.006498,4412.82,27.8237
22,0.006636,4447.65,27.6429
22,0.006774,4482.21,27.4674
22,0.006912,4516.47,27.2606
22,0.007051,4550.64,27.0327
22,0.007189,4584.37,26.9095
22,0.007327,4617.89,26.7813
22,0.007465,4651.19,26.6273
22,0.007604,4684.5,26.4765
22,0.007742,4717.35,26.3308
22,0.00788,4749.97,26.1892
22,0.008019,4782.61,26.0503
22,0.008157,4814.79,25.9162
22,0.008295,4846.77,25.7857
22,0.008433,4878.54,25.6587
22,0.008571,4910.12,25.5351
22,0.00871,4941.72,25.4138
22,0.008848,4972.89,25.2967
22,0.008986,5003.88,25.1826
22,0.009125,5034.9,25.0707
22,0.009263,5065.52,24.9625
22,0.009401,5095.95,24.8571
22,0.009539,5126.21,24.7545
22,0.009677,5156.29,24.6545
22,0.009816,5186.42,24.5564
22,0.009954,5216.16,24.4615
22,0.010092,5245.73,24.3691
22,0.010231,5275.35,24.2784
22,0.010369,5304.6,24.1906
22,0.010507,5333.69,24.1051
22,0.010645,5362.62,24.0218
22,0.010783,5391.41,23.9406
22,0.010922,5420.24,23.8609
22,0.01106,5448.72,23.7838
22,0.011198,5477.06,23.7086
22,0.011337,5505.45,23.6348
22,0.011475,5533.49,23.5634
22,0.011613,5561.4,23.4938
22,0.011751,5589.17,23.426
22,0.011889,5616.8,23.3599
22,0.012028,5644.49,23.295
22,0.012166,5671.85,23.2321
22,0.012304,5699.08,23.1709
22,0.012443,5726.38,23.1108
22,0.012581,5753.36,23.0526
22,0.012719,5780.2,22.9958
22,0.012857,5806.93,22.9405
22,0.012995,5833.53,22.8866
22,0.013134,5860.2,22.8337
22,0.013272,5886.56,22.7824
22,0.01341,5912.81,22.7325
22,0.013549,5939.12,22.6834
22,0.013687,5965.13,22.6359
22,0.013825,5991.03,22.5897
22,0.013963,6016.81,22.5445
22,0.014101,6042.48,22.5005
22,0.01424,6068.23,22.4573
22,0.014378,6093.68,22.4155
22,0.014516,6119.03,22.3748
22,0.014655,6144.45,22.3347
22,0.014793,6169.58,22.2803
22,0.014931,6194.49,22.1284
22,0.015069,6219.43,22.2747
22,0.015208,6244.57,22.2549
22,0.015346,6269.38,22.2767
22,0.015484,6294.06,22.113
22,0.015622,6318.57,22.0676
22,0.01576,6343.03,22.1227
22,0.015899,6367.64,22.1319
22,0.016037,6392.0,22.104
22,0.016175,6416.27,22.0923
22,0.016313,6440.48,22.0909
22,0.016452,6464.75,22.0042
22,0.01659,6488.5,21.6847
22,0.016728,6512.02,21.636
22,0.016867,6535.87,21.8959
22,0.017005,6559.66,22.0355
22,0.017143,6583.36,21.9724
22,0.017281,6606.93,21.8921
22,0.01742,6630.55,21.8481
22,0.017558,6653.92,21.8289
22,0.017696,6677.2,21.813
22,0.017834,6700.36,21.7543
22,0.017972,6723.42,21.7393
22,0.018111,6746.6,21.7478
22,0.018249,6769.55,21.74
22,0.018387,6792.43,21.7277
22,0.018525,6815.23,21.7161
22,0.018664,6838.12,21.7051
22,0.018802,6860.77,21.6949
22,0.01894,6883.35,21.6853
22,0.019079,6906.02,21.6764
22,0.019217,6928.45,21.6681
22,0.019355,6950.82,21.6605
22,0.019493,6973.11,21.6535
22,0.019632,6995.49,21.647
22,0.01977,7017.65,21.6412
22,0.019908,7039.74,21.636
22,0.020046,7061.75,21.6314
22,0.020184,7083.71,21.6273
22,0.020323,7105.75,21.6237
22,0.020461,7127.57,21.6207
22,0.020599,7149.33,21.6183
22,0.020737,7171.02,21.6163
22,0.020876,7192.8,21.6149
22,0.021014,7214.36,21.614
22,0.021152,7235.86,21.6135
22,0.021291,7257.46,21.6136
22,0.021429,7278.83,21.6141
22,0.021567,7300.15,21.6151
22,0.021705,7321.4,21.6165
22,0.021844,7342.75,21.6184
22,0.021982,7363.88,21.6207
22,0.02212,7384.96,21.6235
22,0.022258,7405.95,21.5705
22,0.022396,7426.71,21.3172
22,0.022535,7447.26,21.0443
22,0.022673,7467.71,21.161
22,0.022811,7488.28,21.354
22,0.022949,7508.9,21.5297
22,0.023088,7529.69,21.605
22,0.023226,7550.29,21.6559
22,0.023364,7570.86,21.6622
22,0.023503,7591.51,21.6689
22,0.023641,7611.97,21.6759
22,0.023779,7632.37,21.6833
22,0.023917,7652.72,21.691
22,0.024056,7673.16,21.6991
22,0.024194,7693.4,21.7075
22,0.024332,7713.6,21.7162
22,0.02447,7733.74,21.7252
22,0.024608,7753.83,21.7345
22,0.024747,7774.01,21.7435
22,0.024885,7794.0,21.7463
22,0.025023,7813.92,21.7396
22,0.025162,7833.92,21.7299
22,0.0253,7853.72,21.7268
22,0.025438,7873.46,21.7285
22,0.025576,7893.15,21.7347
22,0.025715,7912.94,21.7439
22,0.025853,7932.53,21.7543
22,0.025991,7952.08,21.765
22,0.026129,7971.57,21.7759
22,0.026267,7991.02,21.7871
22,0.026406,8010.57,21.798
22,0.026544,8029.92,21.805
22,0.026682,8049.22,21.8114
22,0.02682,8068.48,21.8233
22,0.026959,8087.83,21.841
22,0.027097,8107.0,21.8568
22,0.027235,8126.13,21.8721
22,0.027374,8145.35,21.8862
22,0.027512,8164.39,21.8998
23,0.000138,2521.83,48.2939
23,0.000276,2585.9,47.1343
23,0.000415,2648.97,46.0448
23,0.000553,2710.23,45.0308
23,0.000691,2770.22,44.0782
23,0.00083,2829.43,43.1752
23,0.000968,2887.08,42.3272
23,0.001106,2943.62,41.498
23,0.001244,2999.14,40.7935
