[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
1.49568,0.00277846,0.513949,0.00963883,0.981966,0.0136002,0.00458756,8.90563e-05

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
BSA_15,66400,15,0.0250229,0.481073,0.108509,12.8957,14.8702,-13.278
BSA_16,66400,16,0.0268105,0.483225,0.116261,14.6953,16.1859,-9.20982
myoglobin_15,17000,15,0.0276901,0.136294,0.120075,16.6817,17.2262,-3.16086
myoglobin_16,17000,16,0.0286882,0.132382,0.124403,17.7781,18.3227,-2.97246
myoglobin_17,17000,17,0.0295618,0.128389,0.128191,18.7549,19.2131,-2.38482
myoglobin_18,17000,18,0.0303843,0.124629,0.131758,19.6959,19.9656,-1.35055
myoglobin_19,17000,19,0.0311599,0.121084,0.135121,20.6023,20.629,-0.129667
myoglobin_20,17000,20,0.0318927,0.117735,0.138299,21.4752,21.2598,1.0131
myoglobin_21,17000,21,0.0326536,0.114804,0.141598,22.4093,21.9255,2.20653
myoglobin_22,17000,22,0.0335133,0.11247,0.145326,23.5066,22.637,3.84158
myoglobin_23,17000,23,0.0344072,0.11045,0.149203,24.6829,23.4186,5.39869
myoglobin_24,17000,24,0.0353389,0.108714,0.153243,25.9469,24.3171,6.70206

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
1,147065,23,0.000138,2521.83,48.2939
2,147065,23,0.000276,2585.9,47.1343
3,147065,23,0.000415,2648.97,46.0448
4,147065,23,0.000553,2710.23,45.0308
5,147065,23,0.000691,2770.22,44.0782
6,147065,23,0.00083,2829.43,43.1752
7,147065,23,0.000968,2887.08,42.3272
8,147065,23,0.001106,2943.62,41.498
9,147065,23,0.001244,2999.14,40.7935
10,147065,23,0.001383,3054.22,40.1164
11,147065,23,0.001521,3107.93,39.3598
12,147065,23,0.001659,3160.75,38.742
13,147065,23,0.001797,3212.78,38.1838
14,147065,23,0.001936,3264.44,37.5978
15,147065,23,0.002074,3314.76,36.8615
16,147065,23,0.002212,3364.42,36.4039
17,147065,23,0.00235,3413.46,35.9905
18,147065,23,0.002489,3462.2,35.4843
19,147065,23,0.002627,3509.94,34.9969
20,147065,23,0.002765,3557.05,34.5533
21,147065,23,0.002903,3603.58,34.128
22,147065,23,0.003042,3649.87,33.7171
23,147065,23,0.00318,3695.28,33.3254
24,147065,23,0.003318,3740.16,32.949
25,147065,23,0.003456,3784.54,32.587
26,147065,23,0.003595,3828.74,32.2361
27,147065,23,0.003733,3872.12,31.8595
28,147065,23,0.003871,3914.79,31.3003
29,147065,23,0.004009,3957.02,30.9846
30,147065,23,0.004148,3999.24,30.8027
31,147065,23,0.004286,4040.83,30.5942
32,147065,23,0.004424,4082.04,30.3965
