Protein,Charge,Theoretical m/z,Range Min,Range Max,Scale Factor
mAb4,21,7004.1120379047625,6653.906436009524,7354.3176398000005,83328.77702567662
mAb4,22,6685.789094181819,6351.499639472728,7020.07854889091,258036.96404128065
mAb4,23,6395.146406434783,6075.389086113044,6714.903726756522,396196.8881646381
mAb4,24,6128.723942666667,5822.287745533334,6435.160139800001,254979.7831085732
mAb4,25,5883.615276,5589.4345122,6177.7960398000005,97024.73385488539
