Protein,Charge,Drift,CCS,CCS Std.Dev.,Normalized_Intensity,Scaled_Intensity,m/z
mAb4,21,0.000138,2109.28,54.5015,0.00029037537616810095,20.125198722685052,7004.1120379047625
mAb4,21,0.000276,2173.16,53.0095,0.0005860303046301673,40.61631014941892,7004.1120379047625
mAb4,21,0.000415,2235.81,51.6444,0.00042236418351723775,29.27301632390553,7004.1120379047625
mAb4,21,0.000553,2296.51,50.3766,0.00027981627158017,19.39337331458741,7004.1120379047625
mAb4,21,0.000691,2355.76,49.1892,0.000739137321155166,51.22777856683467,7004.1120379047625
mAb4,21,0.00083,2414.06,48.0733,0.0003167731376379283,21.954762242929146,7004.1120379047625
mAb4,21,0.000968,2470.67,46.9967,0.0003062140330499974,21.22293683483151,7004.1120379047625
mAb4,21,0.001106,2526.07,45.9864,0.0007866532918008553,54.52099290327405,7004.1120379047625
mAb4,21,0.001244,2580.34,45.0319,0.0005860303046301673,40.61631014941892,7004.1120379047625
mAb4,21,0.001383,2633.9,44.1184,0.0006282667229818911,43.543611781809474,7004.1120379047625
mAb4,21,0.001521,2686.09,43.3011,0.0005121165725146508,35.49353229273546,7004.1120379047625
mAb4,21,0.001659,2737.36,42.5605,0.00016366612111292964,11.343293825513394,7004.1120379047625
mAb4,21,0.001797,2787.73,41.8186,0.00029037537616810095,20.125198722685052,7004.1120379047625
mAb4,21,0.001936,2837.62,41.1107,0.0010347922496172324,71.71888999356854,7004.1120379047625
mAb4,21,0.002074,2886.32,40.4414,0.0002059025394646534,14.270595457903946,7004.1120379047625
mAb4,21,0.002212,2934.25,39.8454,0.0004118050789293068,28.541190915807892,7004.1120379047625
mAb4,21,0.00235,2981.42,39.183,0.0006863417982155113,47.568651526346486,7004.1120379047625
mAb4,21,0.002489,3028.19,38.5628,0.00031149358534396284,21.58884953888033,7004.1120379047625
mAb4,21,0.002627,3073.98,38.0374,0.00044348239269309964,30.736667140100806,7004.1120379047625
mAb4,21,0.002765,3119.09,37.5321,0.00033261179451982473,23.052500355075605,7004.1120379047625
mAb4,21,0.002903,3163.66,37.0304,0.0005332347816905126,36.95718310893073,7004.1120379047625
mAb4,21,0.003042,3207.91,36.5588,0.0004962779156327543,34.395794180589,7004.1120379047625
mAb4,21,0.00318,3251.28,36.1153,0.00019006388258275699,13.172857345757489,7004.1120379047625
mAb4,21,0.003318,3294.1,35.6672,0.0005332347816905126,36.95718310893073,7004.1120379047625
mAb4,21,0.003456,3336.39,35.2584,0.0006124280660999948,42.44587366966302,7004.1120379047625
mAb4,21,0.003595,3378.48,34.8691,0.0004487619449870651,31.102579844149627,7004.1120379047625
mAb4,21,0.003733,3419.77,34.4724,0.0006388258275698221,44.275437189907116,7004.1120379047625
mAb4,21,0.003871,3460.59,34.1006,0.00022702074864051528,15.734246274099222,7004.1120379047625
mAb4,21,0.004009,3500.96,33.7441,0.0005121165725146508,35.49353229273546,7004.1120379047625
mAb4,21,0.004148,3541.16,33.384,0.0002745367192862045,19.027460610538593,7004.1120379047625
mAb4,21,0.004286,3580.65,33.0476,0.0007232986642732697,50.13004045468822,7004.1120379047625
mAb4,21,0.004424,3619.58,32.5799,0.0003378913468137902,23.418413059124422,7004.1120379047625
