[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
1.49568,0.00277846,0.513949,0.00963883,0.981966,0.0136002,0.00458756,8.90563e-05

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
BSA_15,66400,15,0.0250229,0.481073,0.108509,12.8957,14.8702,-13.278
BSA_16,66400,16,0.0268105,0.483225,0.116261,14.6953,16.1859,-9.20982
myoglobin_15,17000,15,0.0276901,0.136294,0.120075,16.6817,17.2262,-3.16086
myoglobin_16,17000,16,0.0286882,0.132382,0.124403,17.7781,18.3227,-2.97246
myoglobin_17,17000,17,0.0295618,0.128389,0.128191,18.7549,19.2131,-2.38482
myoglobin_18,17000,18,0.0303843,0.124629,0.131758,19.6959,19.9656,-1.35055
myoglobin_19,17000,19,0.0311599,0.121084,0.135121,20.6023,20.629,-0.129667
myoglobin_20,17000,20,0.0318927,0.117735,0.138299,21.4752,21.2598,1.0131
myoglobin_21,17000,21,0.0326536,0.114804,0.141598,22.4093,21.9255,2.20653
myoglobin_22,17000,22,0.0335133,0.11247,0.145326,23.5066,22.637,3.84158
myoglobin_23,17000,23,0.0344072,0.11045,0.149203,24.6829,23.4186,5.39869
myoglobin_24,17000,24,0.0353389,0.108714,0.153243,25.9469,24.3171,6.70206

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
1,147065,22,0.000138,2320.37,50.9714
2,147065,22,0.000276,2384.16,49.6993
3,147065,22,0.000415,2446.86,48.4608
4,147065,22,0.000553,2507.65,47.3151
5,147065,22,0.000691,2567.1,46.2475
6,147065,22,0.00083,2625.69,45.2434
7,147065,22,0.000968,2682.67,44.3103
8,147065,22,0.001106,2738.53,43.4323
9,147065,22,0.001244,2793.33,42.604
10,147065,22,0.001383,2847.51,41.8157
11,147065,22,0.001521,2900.35,41.0717
12,147065,22,0.001659,2952.25,40.3374
13,147065,22,0.001797,3003.27,39.724
14,147065,22,0.001936,3054.01,39.1451
15,147065,22,0.002074,3103.52,38.463
16,147065,22,0.002212,3152.23,37.8733
17,147065,22,0.00235,3200.29,37.3628
18,147065,22,0.002489,3248.04,36.8814
19,147065,22,0.002627,3294.76,36.3195
20,147065,22,0.002765,3340.65,35.7153
21,147065,22,0.002903,3386.1,35.3784
22,147065,22,0.003042,3431.34,34.9867
23,147065,22,0.00318,3475.69,34.5449
24,147065,22,0.003318,3519.49,34.1191
25,147065,22,0.003456,3562.77,33.7313
26,147065,22,0.003595,3605.85,33.356
27,147065,22,0.003733,3648.15,32.9976
28,147065,22,0.003871,3689.98,32.6526
29,147065,22,0.004009,3731.36,32.3204
30,147065,22,0.004148,3772.6,31.9979
31,147065,22,0.004286,3813.12,31.6892
32,147065,22,0.004424,3853.23,31.3913
