[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
1.49568,0.00277846,0.513949,0.00963883,0.981966,0.0136002,0.00458756,8.90563e-05

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
BSA_15,66400,15,0.0250229,0.481073,0.108509,12.8957,14.8702,-13.278
BSA_16,66400,16,0.0268105,0.483225,0.116261,14.6953,16.1859,-9.20982
myoglobin_15,17000,15,0.0276901,0.136294,0.120075,16.6817,17.2262,-3.16086
myoglobin_16,17000,16,0.0286882,0.132382,0.124403,17.7781,18.3227,-2.97246
myoglobin_17,17000,17,0.0295618,0.128389,0.128191,18.7549,19.2131,-2.38482
myoglobin_18,17000,18,0.0303843,0.124629,0.131758,19.6959,19.9656,-1.35055
myoglobin_19,17000,19,0.0311599,0.121084,0.135121,20.6023,20.629,-0.129667
myoglobin_20,17000,20,0.0318927,0.117735,0.138299,21.4752,21.2598,1.0131
myoglobin_21,17000,21,0.0326536,0.114804,0.141598,22.4093,21.9255,2.20653
myoglobin_22,17000,22,0.0335133,0.11247,0.145326,23.5066,22.637,3.84158
myoglobin_23,17000,23,0.0344072,0.11045,0.149203,24.6829,23.4186,5.39869
myoglobin_24,17000,24,0.0353389,0.108714,0.153243,25.9469,24.3171,6.70206

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
1,147065,25,0.000138,2903.14,44.9034
2,147065,25,0.000276,2968.62,43.9623
3,147065,25,0.000415,3033.37,43.0983
4,147065,25,0.000553,3096.32,42.0934
5,147065,25,0.000691,3158.1,41.3401
6,147065,25,0.00083,3219.26,40.5996
7,147065,25,0.000968,3278.75,39.705
8,147065,25,0.001106,3337.26,39.0627
9,147065,25,0.001244,3394.88,38.4961
10,147065,25,0.001383,3452.03,37.8252
11,147065,25,0.001521,3507.87,37.2175
12,147065,25,0.001659,3562.88,36.6481
13,147065,25,0.001797,3617.1,36.1049
14,147065,25,0.001936,3670.94,35.5825
15,147065,25,0.002074,3723.66,35.0867
16,147065,25,0.002212,3775.69,34.6122
17,147065,25,0.00235,3827.04,34.1398
18,147065,25,0.002489,3877.86,33.4653
19,147065,25,0.002627,3927.61,33.0268
20,147065,25,0.002765,3976.96,32.7644
21,147065,25,0.002903,4025.8,32.4899
22,147065,25,0.003042,4074.51,32.1576
23,147065,25,0.00318,4122.33,31.7799
24,147065,25,0.003318,4169.57,31.3844
25,147065,25,0.003456,4216.27,31.0141
26,147065,25,0.003595,4262.8,30.6874
27,147065,25,0.003733,4308.52,30.3745
28,147065,25,0.003871,4353.77,30.0725
29,147065,25,0.004009,4398.58,29.781
30,147065,25,0.004148,4443.27,29.4974
31,147065,25,0.004286,4487.22,29.2253
32,147065,25,0.004424,4530.68,28.8832
33,147065,25,0.004562,4573.65,28.6263
34,147065,25,0.004701,4616.63,28.4291
35,147065,25,0.004839,4658.96,28.1885
36,147065,25,0.004977,4700.92,27.9554
37,147065,25,0.005115,4742.52,27.7297
38,147065,25,0.005253,4783.76,27.5109
39,147065,25,0.005392,4824.96,27.2973
40,147065,25,0.00553,4865.52,27.0917
41,147065,25,0.005668,4905.76,26.8923
42,147065,25,0.005806,4945.68,26.6988
43,147065,25,0.005945,4985.57,26.5098
44,147065,25,0.006083,5024.87,26.3277
45,147065,25,0.006221,5063.87,26.1509
46,147065,25,0.006359,5102.58,25.9793
47,147065,25,0.006498,5141.28,25.8114
48,147065,25,0.006636,5179.42,25.6496
49,147065,25,0.006774,5217.29,25.4923
50,147065,25,0.006912,5254.9,25.3396
51,147065,25,0.007051,5292.51,25.1901
52,147065,25,0.007189,5329.59,25.0458
53,147065,25,0.007327,5366.42,24.9056
54,147065,25,0.007465,5403,24.7692
55,147065,25,0.007604,5439.6,24.6357
56,147065,25,0.007742,5475.71,24.5068
57,147065,25,0.00788,5511.57,24.3815
58,147065,25,0.008019,5547.47,24.2587
59,147065,25,0.008157,5582.88,24.14
60,147065,25,0.008295,5618.07,24.0246
61,147065,25,0.008433,5653.05,23.9123
62,147065,25,0.008571,5687.81,23.8029
63,147065,25,0.00871,5722.61,23.6957
64,147065,25,0.008848,5756.95,23.5922
65,147065,25,0.008986,5791.09,23.4913
66,147065,25,0.009125,5825.28,23.3924
67,147065,25,0.009263,5859.02,23.2967
68,147065,25,0.009401,5892.57,23.2036
69,147065,25,0.009539,5925.93,23.1128
70,147065,25,0.009677,5959.1,23.0244
71,147065,25,0.009816,5992.32,22.9376
72,147065,25,0.009954,6025.12,22.8536
73,147065,25,0.010092,6057.75,22.7718
74,147065,25,0.010231,6090.43,22.6915
75,147065,25,0.010369,6122.7,22.6137
76,147065,25,0.010507,6154.78,22.5124
77,147065,25,0.010645,6186.6,22.4171
78,147065,25,0.010783,6218.44,22.4796
79,147065,25,0.010922,6250.48,22.4791
80,147065,25,0.01106,6281.85,22.1874
81,147065,25,0.011198,6313.16,22.2462
82,147065,25,0.011337,6344.63,22.25
83,147065,25,0.011475,6375.76,22.1779
84,147065,25,0.011613,6406.75,22.15
85,147065,25,0.011751,6437.62,22.1043
86,147065,25,0.011889,6467.98,21.6626
87,147065,25,0.012028,6498.29,21.7089
88,147065,25,0.012166,6528.67,21.9445
89,147065,25,0.012304,6558.98,21.9303
90,147065,25,0.012443,6589.31,21.8038
91,147065,25,0.012581,6619.25,21.7379
92,147065,25,0.012719,6649.04,21.6991
93,147065,25,0.012857,6678.68,21.6212
94,147065,25,0.012995,6708.13,21.5716
95,147065,25,0.013134,6737.71,21.5603
96,147065,25,0.013272,6766.97,21.5271
97,147065,25,0.01341,6796.11,21.4924
98,147065,25,0.013549,6825.34,21.4589
99,147065,25,0.013687,6854.23,21.4269
100,147065,25,0.013825,6883.01,21.3963
101,147065,25,0.013963,6911.67,21.3669
102,147065,25,0.014101,6940.22,21.3389
103,147065,25,0.01424,6968.85,21.3118
104,147065,25,0.014378,6997.17,21.2862
105,147065,25,0.014516,7025.37,21.2617
106,147065,25,0.014655,7053.67,21.2383
107,147065,25,0.014793,7081.66,21.2161
108,147065,25,0.014931,7109.54,21.1951
109,147065,25,0.015069,7137.31,21.1751
110,147065,25,0.015208,7165.18,21.156
111,147065,25,0.015346,7192.74,21.1382
112,147065,25,0.015484,7220.2,21.1213
113,147065,25,0.015622,7247.56,21.1054
114,147065,25,0.01576,7274.82,21.0905
115,147065,25,0.015899,7302.17,21.0765
116,147065,25,0.016037,7329.24,21.0634
117,147065,25,0.016175,7356.2,21.0513
118,147065,25,0.016313,7383.06,21.0103
119,147065,25,0.016452,7409.7,20.6225
120,147065,25,0.01659,7435.78,20.451
121,147065,25,0.016728,7461.98,20.7146
122,147065,25,0.016867,7488.54,20.8881
123,147065,25,0.017005,7514.9,20.9924
124,147065,25,0.017143,7541.21,20.9861
125,147065,25,0.017281,7567.43,20.9807
126,147065,25,0.01742,7593.75,20.9759
127,147065,25,0.017558,7619.79,20.9719
128,147065,25,0.017696,7645.75,20.9686
129,147065,25,0.017834,7671.63,20.9661
130,147065,25,0.017972,7697.42,20.9642
131,147065,25,0.018111,7723.31,20.9631
132,147065,25,0.018249,7748.93,20.9623
133,147065,25,0.018387,7774.47,20.9537
134,147065,25,0.018525,7799.9,20.9306
135,147065,25,0.018664,7825.41,20.9099
136,147065,25,0.018802,7850.65,20.9
137,147065,25,0.01894,7875.8,20.897
138,147065,25,0.019079,7901.06,20.8981
139,147065,25,0.019217,7926.05,20.9001
140,147065,25,0.019355,7950.97,20.9026
141,147065,25,0.019493,7975.81,20.9058
142,147065,25,0.019632,8000.74,20.9071
143,147065,25,0.01977,8025.42,20.9035
144,147065,25,0.019908,8050.02,20.9071
145,147065,25,0.020046,8074.55,20.9184
146,147065,25,0.020184,8099.01,20.9283
147,147065,25,0.020323,8123.58,20.9363
148,147065,25,0.020461,8147.9,20.9433
149,147065,25,0.020599,8172.14,20.9508
150,147065,25,0.020737,8196.32,20.9588
151,147065,25,0.020876,8220.6,20.9674
152,147065,25,0.021014,8244.63,20.9764
153,147065,25,0.021152,8268.6,20.9858
154,147065,25,0.021291,8292.67,20.9958
155,147065,25,0.021429,8316.5,21.0061
156,147065,25,0.021567,8340.26,21.0169
157,147065,25,0.021705,8363.96,21.0282
158,147065,25,0.021844,8387.76,21.0399
159,147065,25,0.021982,8411.32,21.052
160,147065,25,0.02212,8434.82,21.0645
161,147065,25,0.022258,8458.26,21.0774
162,147065,25,0.022396,8481.63,21.0907
163,147065,25,0.022535,8505.1,21.1045
164,147065,25,0.022673,8528.35,21.1186
165,147065,25,0.022811,8551.53,21.1331
166,147065,25,0.022949,8574.65,21.1479
167,147065,25,0.023088,8597.88,21.1633
168,147065,25,0.023226,8620.88,21.1788
169,147065,25,0.023364,8643.82,21.1947
170,147065,25,0.023503,8666.86,21.2111
171,147065,25,0.023641,8689.68,21.2277
172,147065,25,0.023779,8712.44,21.2447
173,147065,25,0.023917,8735.15,21.2619
174,147065,25,0.024056,8757.95,21.2797
175,147065,25,0.024194,8780.54,21.2976
176,147065,25,0.024332,8803.07,21.3158
177,147065,25,0.02447,8825.55,21.3343
178,147065,25,0.024608,8847.97,21.3531
179,147065,25,0.024747,8870.49,21.3724
180,147065,25,0.024885,8892.8,21.3918
181,147065,25,0.025023,8915.05,21.4114
182,147065,25,0.025162,8937.41,21.4315
183,147065,25,0.0253,8959.56,21.4518
184,147065,25,0.025438,8981.65,21.4723
185,147065,25,0.025576,9003.69,21.493
186,147065,25,0.025715,9025.83,21.5142
187,147065,25,0.025853,9047.76,21.5355
188,147065,25,0.025991,9069.64,21.557
189,147065,25,0.026129,9091.47,21.5787
190,147065,25,0.026267,9113.23,21.5626
191,147065,25,0.026406,9134.88,21.2383
192,147065,25,0.026544,9155.88,20.9169
193,147065,25,0.026682,9176.93,21.1657
194,147065,25,0.02682,9198.29,21.453
195,147065,25,0.026959,9219.88,21.6595
196,147065,25,0.027097,9241.33,21.7332
197,147065,25,0.027235,9262.76,21.7567
198,147065,25,0.027374,9284.29,21.7806
199,147065,25,0.027512,9305.62,21.8045
